Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"Prabhadevi Diagnostics Center- CT Scan Center","New Usmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005, India.","091568 36176","","https://www.google.com/maps/search/?api=1&query=Prabhadevi+Diagnostics+Center-+CT+Scan+Center+New+Usmanpura%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431005%2C+India.","The center's name is ""Prabhadevi Diagnostics Center- CT Scan Center"" and its services explicitly include ""CT Scan""."
"Seven Hills Diagnostic Center","Near Seven Hill Flyover, Jalna Rd, below Divya Marathi Office, Memon Colony, Vidya Nagar, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431009, India.","083800 83155","","https://www.google.com/maps/search/?api=1&query=Seven+Hills+Diagnostic+Center+Near+Seven+Hill+Flyover%2C+Jalna+Rd%2C+below+Divya+Marathi+Office%2C+Memon+Colony%2C+Vidya+Nagar%2C+Nyay+Nagar%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431009%2C+India.","The text explicitly lists ""Multislice CT scan"" as one of the services offered by the center."
"Krushna Heart Care Center","Waluj","0240 299 0370","","https://www.google.com/maps/search/?api=1&query=Krushna+Heart+Care+Center+Waluj","The text explicitly lists 'CT Scan Center' as one of the center's services."
"Prabhadevi Diagnostics Center","Chhatrapati Sambhajinagar","091568 36176","","https://www.google.com/maps/search/?api=1&query=Prabhadevi+Diagnostics+Center+Chhatrapati+Sambhajinagar","The text states that this facility clearly identifies itself as a 'CT Scan Center'."
"Global Diagnostic Centre","Ahmednagar","0241 242 1010","","https://www.google.com/maps/search/?api=1&query=Global+Diagnostic+Centre+Ahmednagar","The center's description includes 'CT Scan Centre' and confirms it offers CT scans as a service."
"Matrix Scan Centre","Nashik","094220 36600","","https://www.google.com/maps/search/?api=1&query=Matrix+Scan+Centre+Nashik","The text explicitly mentions that the center is equipped with a 64-slice CT scanner."
"Emrald Advanced PET CT & Cancer Diagnosis","Aurangabad","077961 00800","","https://www.google.com/maps/search/?api=1&query=Emrald+Advanced+PET+CT+%26+Cancer+Diagnosis+Aurangabad","The center's name and description confirm it offers PET CT services, which utilize a CT scanner."
"Emrald Advanced PET CT & Cancer Diagnosis in Aurangabad","PLOT NO-110, CTS NO-16035, A-62, Shrikrishna Nagar, Ulkanagari, Chhatrapati Sambhajinagar, Maharashtra 431009, India","077961 00800","","https://www.google.com/maps/search/?api=1&query=Emrald+Advanced+PET+CT+%26+Cancer+Diagnosis+in+Aurangabad+PLOT+NO-110%2C+CTS+NO-16035%2C+A-62%2C+Shrikrishna+Nagar%2C+Ulkanagari%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431009%2C+India","The center's name includes 'PET CT' and the text confirms it specializes in 'PET CT scans'."
"Seth Nandlal Dhoot Hospital Ltd.","MIDC, A-1, Jalna Rd, near Airport, MIDC Industrial Area, Chilkalthana, Chhatrapati Sambhajinagar, Maharashtra 431006, India","0240 247 8600","","https://www.google.com/maps/search/?api=1&query=Seth+Nandlal+Dhoot+Hospital+Ltd.+MIDC%2C+A-1%2C+Jalna+Rd%2C+near+Airport%2C+MIDC+Industrial+Area%2C+Chilkalthana%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431006%2C+India","The text states the hospital's services are supported by a multi-slice CT scanner and it can perform a whole-body CT scan."
"Kamalnayan Bajaj Hospital","Gut No 43 Bajaj Marg, Beed Bypass Rd, Satara Deolai Parisar, Chhatrapati Sambhajinagar, Maharashtra 431010, India","0240 663 2111","","https://www.google.com/maps/search/?api=1&query=Kamalnayan+Bajaj+Hospital+Gut+No+43+Bajaj+Marg%2C+Beed+Bypass+Rd%2C+Satara+Deolai+Parisar%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431010%2C+India","The text explicitly mentions the hospital has a 128-slice dual source CT scanner, a 384-slice CT, and a PET/CT center."
