Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"AVI REKHA DIAGNOSTIC CENTRE","Avi Rekha Diagnostic center, opp. Saikrishna Hospital, Laxmi Nagar, Hanuman Wadi, Chalisgaon, Maharashtra 424101, India","091150 37777","","https://www.google.com/maps/search/?api=1&query=AVI+REKHA+DIAGNOSTIC+CENTRE+Avi+Rekha+Diagnostic+center%2C+opp.+Saikrishna+Hospital%2C+Laxmi+Nagar%2C+Hanuman+Wadi%2C+Chalisgaon%2C+Maharashtra+424101%2C+India","The text explicitly states that this center offers a '32-slice CT scan machine' as part of its services."
"Krsnaa Diagnostics Pvt Ltd- G M Diagnostic Jalgaon","Ganesh Wadi Rd, near panchmukhi hanuman Mandir, Ranchos Nagar, Devidas Colony, Jalgaon, Maharashtra 425001, India","020 6814 6814","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+Pvt+Ltd-+G+M+Diagnostic+Jalgaon+Ganesh+Wadi+Rd%2C+near+panchmukhi+hanuman+Mandir%2C+Ranchos+Nagar%2C+Devidas+Colony%2C+Jalgaon%2C+Maharashtra+425001%2C+India","The center's listed services include 'various types of CT scans such as CT Abdomen Pelvis Plain and CT Chest Plain'."
"Ganpati M R I & C T Scan Center","Bhaskar Market Rd, Pratap Nagar, Jalgaon, Maharashtra 425001, India","0257 224 1111","","https://www.google.com/maps/search/?api=1&query=Ganpati+M+R+I+%26+C+T+Scan+Center+Bhaskar+Market+Rd%2C+Pratap+Nagar%2C+Jalgaon%2C+Maharashtra+425001%2C+India","The center's name includes 'C T Scan', and the description confirms it is a 'diagnostic center offering CT scan services'."
"GAYAAI DIAGNOSTIC CENTER","F262+8QP, Doodh Sagar Marg, near Mundada Hospital, Ganesh Nagar, Chalisgaon, Maharashtra 424101, India.","02589 223 236","","https://www.google.com/maps/search/?api=1&query=GAYAAI+DIAGNOSTIC+CENTER+F262%2B8QP%2C+Doodh+Sagar+Marg%2C+near+Mundada+Hospital%2C+Ganesh+Nagar%2C+Chalisgaon%2C+Maharashtra+424101%2C+India.","The text explicitly states that the center's range of services includes CT scans."
"Narmada Medical Foundation","Near Union Bank Yashwant Nagar, 23P4+J47, Suyog Society, Amalner, Maharashtra 425401, India.","02587 223 097","","https://www.google.com/maps/search/?api=1&query=Narmada+Medical+Foundation+Near+Union+Bank+Yashwant+Nagar%2C+23P4%2BJ47%2C+Suyog+Society%2C+Amalner%2C+Maharashtra+425401%2C+India.","The provided text confirms that this hospital is equipped with CT scan services."
"Krsnaa Diagnostics Pvt Ltd- G M Diagnostic Jalgaon","Ganesh Wadi Rd, near panchmukhi hanuman Mandir, Ranchos Nagar, Devidas Colony, Jalgaon, Maharashtra 425001, India.","020 6814 6814","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+Pvt+Ltd-+G+M+Diagnostic+Jalgaon+Ganesh+Wadi+Rd%2C+near+panchmukhi+hanuman+Mandir%2C+Ranchos+Nagar%2C+Devidas+Colony%2C+Jalgaon%2C+Maharashtra+425001%2C+India.","The text lists specific types of CT scans offered, such as CT Abdomen Pelvis Plain and CT Chest Plain."
"Ganpati M R I & C T Scan Center","Bhaskar Market Rd, Pratap Nagar, Jalgaon, Maharashtra 425001, India.","0257 224 1111","","https://www.google.com/maps/search/?api=1&query=Ganpati+M+R+I+%26+C+T+Scan+Center+Bhaskar+Market+Rd%2C+Pratap+Nagar%2C+Jalgaon%2C+Maharashtra+425001%2C+India.","The center's name includes 'C T Scan', and the description confirms it provides this service."
"Samarpan CT Scan","old pimpalgaon road, behind rural hospital, Bhadgaon, Maharashtra 424105, India","098906 06095","","https://www.google.com/maps/search/?api=1&query=Samarpan+CT+Scan+old+pimpalgaon+road%2C+behind+rural+hospital%2C+Bhadgaon%2C+Maharashtra+424105%2C+India","The center's name, 'Samarpan CT Scan', directly suggests that CT scans are a primary service."
"CT Scan Centre","Shop No, 1 Road, near by Puman Garden Pachora, Bhadgaon, Maharashtra 424105, India","Not available.","","https://www.google.com/maps/search/?api=1&query=CT+Scan+Centre+Shop+No%2C+1+Road%2C+near+by+Puman+Garden+Pachora%2C+Bhadgaon%2C+Maharashtra+424105%2C+India","The center's name explicitly identifies it as a 'CT Scan Centre', strongly indicating that CT scans are offered."
"Vighnaharta Hospital","Kargaon Rd, Laxmi Nagar, Dist:Jalgaon, Chalisgaon, Maharashtra 424101, India.","Not available","","https://www.google.com/maps/search/?api=1&query=Vighnaharta+Hospital+Kargaon+Rd,+Laxmi+Nagar,+Dist:Jalgaon,+Chalisgaon,+Maharashtra+424101,+India.","The text states that this hospital is listed and categorized as a ""CT Scan Centre"" on Justdial."
