Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"krystal CT scan & Sonography Center","SHOP NO 6&7 MISAL PRIDE, Bagal Chowk, Shahu Mill Rd, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India","086864 66464","","https://www.google.com/maps/search/?api=1&query=krystal+CT+scan+%26+Sonography+Center+SHOP+NO+6%267+MISAL+PRIDE%2C+Bagal+Chowk%2C+Shahu+Mill+Rd%2C+Poorvarang%2C+Mahalaxminagar%2C+Rajarampuri%2C+Kolhapur%2C+Maharashtra+416008%2C+India","The text explicitly states that this center offers CT scans as part of its services."
"NUCLEUS DIGITAL PET CT ,KOLHAPUR","Ujalaiwadi, Kolhapur, Maharashtra 416004, India","099365 17474","","https://www.google.com/maps/search/?api=1&query=NUCLEUS+DIGITAL+PET+CT+%2CKOLHAPUR+Ujalaiwadi%2C+Kolhapur%2C+Maharashtra+416004%2C+India","The services description clearly mentions that they offer 'routine CT scans 24 hours a day'."
"Krsnaa Diagnostics Pvt. Ltd.","507, Kadamwadi - Jadhavwadi Rd, E Ward, Scheme No.4, Laxminarayan Nagar, Kadamwadi, Kolhapur, Maharashtra 416003, India","096233 96233","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+Pvt.+Ltd.+507%2C+Kadamwadi+-+Jadhavwadi+Rd%2C+E+Ward%2C+Scheme+No.4%2C+Laxminarayan+Nagar%2C+Kadamwadi%2C+Kolhapur%2C+Maharashtra+416003%2C+India","The text lists 'CT scans' as one of the radiology services provided by the center."
"krystal CT scan & Sonography Center","SHOP NO 6&7 MISAL PRIDE, Bagal Chowk, Shahu Mill Rd, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India","086864 66464","","https://www.google.com/maps/search/?api=1&query=krystal+CT+scan+%26+Sonography+Center+SHOP+NO+6%267+MISAL+PRIDE%2C+Bagal+Chowk%2C+Shahu+Mill+Rd%2C+Poorvarang%2C+Mahalaxminagar%2C+Rajarampuri%2C+Kolhapur%2C+Maharashtra+416008%2C+India","The text explicitly states that this center offers CT scans and its name includes 'CT scan'."
"Sai Diagnostic Centre And Sai Scans","Atharva Elegence, 1st Ln, near Waman Guest House, Shahupuri, Kolhapur, Maharashtra 416001, India","0231 266 8089","","https://www.google.com/maps/search/?api=1&query=Sai+Diagnostic+Centre+And+Sai+Scans+Atharva+Elegence%2C+1st+Ln%2C+near+Waman+Guest+House%2C+Shahupuri%2C+Kolhapur%2C+Maharashtra+416001%2C+India","The center's listed services include 'Whole Body CT' and '3D CT', confirming the availability of a CT scanner."
"Apex imaging centre","M6XG+W95, Akbar Mohalla, RGERRE, Kavlapur, Kolhapur, Maharashtra 416002, India.","084829 00482","","https://www.google.com/maps/search/?api=1&query=Apex+imaging+centre+M6XG%2BW95%2C+Akbar+Mohalla%2C+RGERRE%2C+Kavlapur%2C+Kolhapur%2C+Maharashtra+416002%2C+India.","The text confirms that the center provides a wide array of CT scan services utilizing a 16 Slice CT Scanner and is listed under 'CT Scan Centres'."
"Disha Diagnostic Centre","Between, Sharda cafe and Deshbhushan high school, behind CPR, Akbar Mohalla, Kavlapur, Kolhapur, Maharashtra 416002, India","0231 264 0039","","https://www.google.com/maps/search/?api=1&query=Disha+Diagnostic+Centre+Between%2C+Sharda+cafe+and+Deshbhushan+high+school%2C+behind+CPR%2C+Akbar+Mohalla%2C+Kavlapur%2C+Kolhapur%2C+Maharashtra+416002%2C+India","The text states that the center is listed as ""Disha Diagnostic and Ct Scan Centre"" in search results, indicating the availability of CT scans."
"Antrang Hospital","New Palace Rd, near Mahaveer College, Rutugandh Society, Ramanmala, Kolhapur, Maharashtra 416003, India.","084128 86622","","https://www.google.com/maps/search/?api=1&query=Antrang+Hospital+New+Palace+Rd%2C+near+Mahaveer+College%2C+Rutugandh+Society%2C+Ramanmala%2C+Kolhapur%2C+Maharashtra+416003%2C+India.","The text confirms that the hospital's radiology and imaging services include Computed Tomography (CT) scans."
"Apple Hospitals and Research institute Limited","525/E, Vyapari Peth, Vyaparipeth, Shahupuri, Kolhapur, Maharashtra 416001, India","0231 265 1207, 02312688888","","https://www.google.com/maps/search/?api=1&query=Apple+Hospitals+and+Research+institute+Limited+525%2FE%2C+Vyapari+Peth%2C+Vyaparipeth%2C+Shahupuri%2C+Kolhapur%2C+Maharashtra+416001%2C+India","The text states that the hospital's imaging and radiology facilities include CT scan and MRI services."
"Aster Aadhar Hospital","R. S. No. 628, 'B' Ward, Near, near KMT Workshop, Shastri Nagar, Kolhapur, Maharashtra 416012, India","0231 662 2555","","https://www.google.com/maps/search/?api=1&query=Aster+Aadhar+Hospital+R.+S.+No.+628%2C+%27B%27+Ward%2C+Near%2C+near+KMT+Workshop%2C+Shastri+Nagar%2C+Kolhapur%2C+Maharashtra+416012%2C+India","The hospital's radiology department is explicitly mentioned as providing 'multislice CT scanning'."
