Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"Spectrum Healthcare - Imaging Centre","Gokuldas Tejpal Hospital, Lokmanya Tilak Rd, Dhobi Talao, Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001, India.","022 2262 6226","","https://www.google.com/maps/search/?api=1&query=Spectrum+Healthcare+-+Imaging+Centre+Gokuldas+Tejpal+Hospital%2C+Lokmanya+Tilak+Rd%2C+Dhobi+Talao%2C+Chhatrapati+Shivaji+Terminus+Area%2C+Fort%2C+Mumbai%2C+Maharashtra+400001%2C+India.","The text explicitly states that the center's services include computed tomography (CT) scans."
"Mittal Imaging Centre","Jogilal Poddar Ln, near Hindustani Prachar Sabha, Charni Road, W, Mumbai, Maharashtra 400002, India.","096190 01475","","https://www.google.com/maps/search/?api=1&query=Mittal+Imaging+Centre+Jogilal+Poddar+Ln%2C+near+Hindustani+Prachar+Sabha%2C+Charni+Road%2C+W%2C+Mumbai%2C+Maharashtra+400002%2C+India.","The center is confirmed to have a CT scanner as the text states it offers a '128-slice cardiac CT scan'."
"NM Medical Marine Lines","Dariya Nagar House, Maharshi Karve Marg, next to ICICI Bank, Marine Lines East, Dhus wadi, Sonapur, Marine Lines, Mumbai, Maharashtra 400002, India","022 4342 9999","","https://www.google.com/maps/search/?api=1&query=NM+Medical+Marine+Lines+Dariya+Nagar+House%2C+Maharshi+Karve+Marg%2C+next+to+ICICI+Bank%2C+Marine+Lines+East%2C+Dhus+wadi%2C+Sonapur%2C+Marine+Lines%2C+Mumbai%2C+Maharashtra+400002%2C+India","The text states that the center's services include 'CT scans and cardiac CTs'."
"NM Medical PET CT Charni Road","Ground Floor, Lord House, Maharshi Karve Rd, opp. Charni Road Railway Station, Charni Road East, Kranti Nagar, Mangal Wadi, Girgaon, Mumbai, Maharashtra 400004, India","075066 65658","","https://www.google.com/maps/search/?api=1&query=NM+Medical+PET+CT+Charni+Road+Ground+Floor%2C+Lord+House%2C+Maharshi+Karve+Rd%2C+opp.+Charni+Road+Railway+Station%2C+Charni+Road+East%2C+Kranti+Nagar%2C+Mangal+Wadi%2C+Girgaon%2C+Mumbai%2C+Maharashtra+400004%2C+India","The services description explicitly mentions that the center offers 'digital PET CT scans'."
"Picture This by Jankharia - Cardiac CT Scan Centre","Nishat Business Centre, Arya Bhavan, 461, Sardar Vallabhbhai Patel Rd, Charni Road East, Bhatwadi, Girgaon, Mumbai, Maharashtra 400004, India","022 6848 6666","","https://www.google.com/maps/search/?api=1&query=Picture+This+by+Jankharia+-+Cardiac+CT+Scan+Centre+Nishat+Business+Centre%2C+Arya+Bhavan%2C+461%2C+Sardar+Vallabhbhai+Patel+Rd%2C+Charni+Road+East%2C+Bhatwadi%2C+Girgaon%2C+Mumbai%2C+Maharashtra+400004%2C+India","The text specifies that this center 'Specializes in cardiac CT scans'."
"Mittal Imaging Centre","Jogilal Poddar Ln, near Hindustani Prachar Sabha, Charni Road, W, Mumbai, Maharashtra 400002, India","096190 01475","","https://www.google.com/maps/search/?api=1&query=Mittal+Imaging+Centre+Jogilal+Poddar+Ln%2C+near+Hindustani+Prachar+Sabha%2C+Charni+Road%2C+W%2C+Mumbai%2C+Maharashtra+400002%2C+India","The center's listed services include 'a 128-slice cardiac CT scan'."
"Ubercare - Saboo Siddique Hospital","Saboo Siddique Hospital, M.H, CT Scandept, Bhendi Bazaar, Umerkhadi, Mumbai, Maharashtra 400009, India","091682 83636","","https://www.google.com/maps/search/?api=1&query=Ubercare+-+Saboo+Siddique+Hospital+Saboo+Siddique+Hospital%2C+M.H%2C+CT+Scandept%2C+Bhendi+Bazaar%2C+Umerkhadi%2C+Mumbai%2C+Maharashtra+400009%2C+India","The text confirms that 'This facility has a CT scan department'."
"Paradise Imaging","Ali Raza Castle, 488, Sir Jamshedji Jeejeebhoy Rd, Nagpada, Mumbai, Maharashtra 400008, India.","070459 91990","","https://www.google.com/maps/search/?api=1&query=Paradise+Imaging+Ali+Raza+Castle%2C+488%2C+Sir+Jamshedji+Jeejeebhoy+Rd%2C+Nagpada%2C+Mumbai%2C+Maharashtra+400008%2C+India.","The text explicitly states that the center's services include various types of CT scans."
"PerfeCare Diagnostics","Shop No 3, Al-Haffiz Building, Mirza Galib Rd, New Nagpada, Byculla, Mumbai, Maharashtra 400008, India.","073041 60123","","https://www.google.com/maps/search/?api=1&query=PerfeCare+Diagnostics+Shop+No+3%2C+Al-Haffiz+Building%2C+Mirza+Galib+Rd%2C+New+Nagpada%2C+Byculla%2C+Mumbai%2C+Maharashtra+400008%2C+India.","The text lists CT scans as one of the services offered by the center, available 24/7."
"Central Diagnostic Clinic","Jariwala Building, 75, Sardar Vallabhbhai Patel Rd, Ajmer, Null Bazar, Bhuleshwar, Mumbai, Maharashtra 400003, India.","081080 45301","","https://www.google.com/maps/search/?api=1&query=Central+Diagnostic+Clinic+Jariwala+Building%2C+75%2C+Sardar+Vallabhbhai+Patel+Rd%2C+Ajmer%2C+Null+Bazar%2C+Bhuleshwar%2C+Mumbai%2C+Maharashtra+400003%2C+India.","The services section for this clinic explicitly includes CT scans in its list of provided diagnostics."
