Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"TESLA IMAGING AND INTERVENTION","BAIDNATH SQR, opposite TATA CAPITAL HEIGHTS, Untkhana, Nagpur, Maharashtra 440024, India.","The phone number for this facility was not immediately available.","","https://www.google.com/maps/search/?api=1&query=TESLA+IMAGING+AND+INTERVENTION+BAIDNATH+SQR,+opposite+TATA+CAPITAL+HEIGHTS,+Untkhana,+Nagpur,+Maharashtra+440024,+India.","The text explicitly states that the center's services include a 'Multi-Slice CT Scan'."
"Photon Scan 3T MRI and CT","34, Abhyankar Marg, near Avanti Hospital, Dhantoli, Nagpur, Maharashtra 440012, India.","091455 93313","","https://www.google.com/maps/search/?api=1&query=Photon+Scan+3T+MRI+and+CT+34,+Abhyankar+Marg,+near+Avanti+Hospital,+Dhantoli,+Nagpur,+Maharashtra+440012,+India.","The center's name includes 'CT' and the services list 'Multislice whole body CT scan' as an offering."
"RADION Scan, 96 slice CT scan, Advanced Sonography & Fetal Medicine Center","Tiranga chowk, Shiv Nagar, Azamshah Layout, Nagpur, Maharashtra 440024, India.","073858 33299","","https://www.google.com/maps/search/?api=1&query=RADION+Scan,+96+slice+CT+scan,+Advanced+Sonography+&+Fetal+Medicine+Center+Tiranga+chowk,+Shiv+Nagar,+Azamshah+Layout,+Nagpur,+Maharashtra+440024,+India.","The center's name explicitly confirms the presence of a '96 slice CT scan'."
"TESLA IMAGING AND INTERVENTION","BAIDNATH SQR, opposite TATA CAPITAL HEIGHTS, Untkhana, Nagpur, Maharashtra 440024, India.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=TESLA+IMAGING+AND+INTERVENTION+BAIDNATH+SQR%2C+opposite+TATA+CAPITAL+HEIGHTS%2C+Untkhana%2C+Nagpur%2C+Maharashtra+440024%2C+India.","The center's full title is listed as including 'BEST CT SCAN IN NAGPUR', which confirms they provide CT scan services."
"STAR IMAGING & DIAGNOSTICS, 3T MRI CENTRE","Midas Heights, 7, Central Bazar Road, Ramdaspeth, Nagpur, Maharashtra 440010, India.","086000 10686","","https://www.google.com/maps/search/?api=1&query=STAR+IMAGING+%26+DIAGNOSTICS%2C+3T+MRI+CENTRE+Midas+Heights%2C+7%2C+Central+Bazar+Road%2C+Ramdaspeth%2C+Nagpur%2C+Maharashtra+440010%2C+India.","The text explicitly states that the center has a 160-slice CT scanner."
"Photon Scan 3T MRI and CT","34, Abhyankar Marg, near Avanti Hospital, Dhantoli, Nagpur, Maharashtra 440012, India.","091455 93313","","https://www.google.com/maps/search/?api=1&query=Photon+Scan+3T+MRI+and+CT+34%2C+Abhyankar+Marg%2C+near+Avanti+Hospital%2C+Dhantoli%2C+Nagpur%2C+Maharashtra+440012%2C+India.","The center's name, 'Photon Scan 3T MRI and CT', directly indicates that it offers CT scan services."
"Global Diagnostics","Ground floor, Anjuman Complex, near Khan pathology, Sadar, Nagpur, Maharashtra 440001, India.","070837 50761","","https://www.google.com/maps/search/?api=1&query=Global+Diagnostics+Ground+floor%2C+Anjuman+Complex%2C+near+Khan+pathology%2C+Sadar%2C+Nagpur%2C+Maharashtra+440001%2C+India.","The center's full name listed in the text explicitly includes 'CT Scan' among its services."
"Dhande's Panorama MRI Center","Prayag Enclave, 17, W High Ct Rd, near sanman lawns, Shankar Nagar, East Shankar Nagar, Nagpur, Maharashtra 440010, India.","095520 02949","","https://www.google.com/maps/search/?api=1&query=Dhande%27s+Panorama+MRI+Center+Prayag+Enclave%2C+17%2C+W+High+Ct+Rd%2C+near+sanman+lawns%2C+Shankar+Nagar%2C+East+Shankar+Nagar%2C+Nagpur%2C+Maharashtra+440010%2C+India.","The text confirms the availability of a CT scanner by stating the center is categorized as a 'CT Scan Centre'."
"HELIX CT & MRI SCAN CENTER","Bhangdiya House, beside Getwell hospital, behind Vijayanand Society, Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India.","0712 242 4042","","https://www.google.com/maps/search/?api=1&query=HELIX+CT+%26+MRI+SCAN+CENTER+Bhangdiya+House%2C+beside+Getwell+hospital%2C+behind+Vijayanand+Society%2C+Lokmat+Square%2C+Dhantoli%2C+Nagpur%2C+Maharashtra+440012%2C+India.","The center's name, 'HELIX CT & MRI SCAN CENTER', explicitly confirms the availability of CT scan services."
"STAR IMAGING & DIAGNOSTICS, 3T MRI CENTRE","Midas Heights, 7, Central Bazar Road, Ramdaspeth, Nagpur, Maharashtra 440010, India.","086000 10686","","https://www.google.com/maps/search/?api=1&query=STAR+IMAGING+&+DIAGNOSTICS,+3T+MRI+CENTRE+Midas+Heights,+7,+Central+Bazar+Road,+Ramdaspeth,+Nagpur,+Maharashtra+440010,+India.","The text explicitly states that the center provides CT scans with a 128-slice CT scanner."
