Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"Volta Diagnostics","Volta Heights, Opp. IMAX Hospital, Sant Tukaram Nagar, Pune Nagar Rd, opp. Kesnand Phata, Wagholi, Pune, Maharashtra 412207, India.","072629 25522","","https://www.google.com/maps/search/?api=1&query=Volta+Diagnostics+Volta+Heights%2C+Opp.+IMAX+Hospital%2C+Sant+Tukaram+Nagar%2C+Pune+Nagar+Rd%2C+opp.+Kesnand+Phata%2C+Wagholi%2C+Pune%2C+Maharashtra+412207%2C+India.","The text states that the center offers a variety of CT scan services and is equipped with a 32-slice CT scanner."
"Omega PDS - MRI Scan in Pune","Hospital Compound 27, Ganjwe Wadi, Sadashiv Peth, Pune, Maharashtra 411030, India.","080557 83683","","https://www.google.com/maps/search/?api=1&query=Omega+PDS+-+MRI+Scan+in+Pune+Hospital+Compound+27%2C+Ganjwe+Wadi%2C+Sadashiv+Peth%2C+Pune%2C+Maharashtra+411030%2C+India.","The text explicitly states that this center provides CT scan services in addition to MRI scans."
"Primus Diagnostics","2, 1, Siddharth Complex, Pune Nagar Rd, next to Royal Enfield Bulletin Bike showroom, Mahindra Society, Yerawada, Pune, Maharashtra 411006, India.","096655 34444","","https://www.google.com/maps/search/?api=1&query=Primus+Diagnostics+2%2C+1%2C+Siddharth+Complex%2C+Pune+Nagar+Rd%2C+next+to+Royal+Enfield+Bulletin+Bike+showroom%2C+Mahindra+Society%2C+Yerawada%2C+Pune%2C+Maharashtra+411006%2C+India.","The services description confirms that this center provides fast and precise CT scanning."
"Vijaya PH Diagnostic Centre","Vishal Ventila, Magarpatta Rd, NEAR NOBLE HOSPITAL, North Hadapsar, Hadapsar, Pune, Maharashtra 411013, India.","092402 22222","","https://www.google.com/maps/search/?api=1&query=Vijaya+PH+Diagnostic+Centre+Vishal+Ventila%2C+Magarpatta+Rd%2C+NEAR+NOBLE+HOSPITAL%2C+North+Hadapsar%2C+Hadapsar%2C+Pune%2C+Maharashtra+411013%2C+India.","The text confirms the center offers access to advanced radiology tests, including 160 Slice CT scans."
"Sunrise Diagnostics, Sonography, Xray, CT Scan, Blood test in kothurd Pune","Ground Floor,Building ,Karvenagar, THE BUSINESS HUB, 2, Karve Rd, Opposite Mirch Masala Hotel, Near Vandevi Mandir, Happy Colony, Kothrud, Pune, Maharashtra 411052, India.","090285 66644","","https://www.google.com/maps/search/?api=1&query=Sunrise+Diagnostics%2C+Sonography%2C+Xray%2C+CT+Scan%2C+Blood+test+in+kothurd+Pune+Ground+Floor%2CBuilding+%2CKarvenagar%2C+THE+BUSINESS+HUB%2C+2%2C+Karve+Rd%2C+Opposite+Mirch+Masala+Hotel%2C+Near+Vandevi+Mandir%2C+Happy+Colony%2C+Kothrud%2C+Pune%2C+Maharashtra+411052%2C+India.","The center's name includes 'CT Scan' and its service description lists a wide range of CT scans offered."
"The Galaxy Diagnostic Centre","Office No 14/23, Laxmi Classic Building, Near Crown Bakery, Alandi Rd Chouk, opposite shetiya Hospital, Pratik Nagar, Mohanwadi, Vishrantwadi, Pune, Maharashtra 411006, India.","075179 00011","","https://www.google.com/maps/search/?api=1&query=The+Galaxy+Diagnostic+Centre+Office+No+14%2F23%2C+Laxmi+Classic+Building%2C+Near+Crown+Bakery%2C+Alandi+Rd+Chouk%2C+opposite+shetiya+Hospital%2C+Pratik+Nagar%2C+Mohanwadi%2C+Vishrantwadi%2C+Pune%2C+Maharashtra+411006%2C+India.","The text confirms this center offers 24-hour CT scan services."
"Vijaya PH Diagnostic Centre, Chinchwad","Sai Plaza, चाफेकर चौक, Chinchwad Station Rd, Near Chinchwadgaon Police Station, Gandhi Peth, Chinchwad Gaon, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033, India.","092402 22222","","https://www.google.com/maps/search/?api=1&query=Vijaya+PH+Diagnostic+Centre%2C+Chinchwad+Sai+Plaza%2C+%E0%A4%9A%E0%A4%BE%E0%A4%AB%E0%A5%87%E0%A4%95%E0%A4%B0+%E0%A4%9A%E0%A5%8C%E0%A4%95%2C+Chinchwad+Station+Rd%2C+Near+Chinchwadgaon+Police+Station%2C+Gandhi+Peth%2C+Chinchwad+Gaon%2C+Chinchwad%2C+Pimpri-Chinchwad%2C+Maharashtra+411033%2C+India.","The text states the center is equipped with a 160 Slice CT scanner and provides PET CT scans."
"The Galaxy Diagnostic Centre","Office No 14/23, Laxmi Classic Building, Near Crown Bakery, Alandi Rd Chouk, opposite shetiya Hospital, Pratik Nagar, Mohanwadi, Vishrantwadi, Pune, Maharashtra 411006, India.","075179 00011","","https://www.google.com/maps/search/?api=1&query=The+Galaxy+Diagnostic+Centre+Office+No+14%2F23%2C+Laxmi+Classic+Building%2C+Near+Crown+Bakery%2C+Alandi+Rd+Chouk%2C+opposite+shetiya+Hospital%2C+Pratik+Nagar%2C+Mohanwadi%2C+Vishrantwadi%2C+Pune%2C+Maharashtra+411006%2C+India.","The text explicitly states that the center offers 24-hour CT scan services and lists specific types of CT scans."
"Volta Diagnostics","Volta Heights, Opp. IMAX Hospital, Sant Tukaram Nagar, Pune Nagar Rd, opp. Kesnand Phata, Wagholi, Pune, Maharashtra 412207, India.","072629 25522","","https://www.google.com/maps/search/?api=1&query=Volta+Diagnostics+Volta+Heights%2C+Opp.+IMAX+Hospital%2C+Sant+Tukaram+Nagar%2C+Pune+Nagar+Rd%2C+opp.+Kesnand+Phata%2C+Wagholi%2C+Pune%2C+Maharashtra+412207%2C+India.","The text confirms the center offers a range of CT scan services and has a 32-slice CT scanner."
"Infinity Medical Centre","Citi Tower, Next to Gandhi Hospital, Dr. SS Rao Road, Parel, Along Raj kamal Marg, Parel East, Parel, Mumbai, Maharashtra 400012, India.","022 6917 2424, 86868 60745","","https://www.google.com/maps/search/?api=1&query=Infinity+Medical+Centre+Citi+Tower%2C+Next+to+Gandhi+Hospital%2C+Dr.+SS+Rao+Road%2C+Parel%2C+Along+Raj+kamal+Marg%2C+Parel+East%2C+Parel%2C+Mumbai%2C+Maharashtra+400012%2C+India.","The text lists MDCT and PET-CT scans as part of the center's offered imaging solutions."
"Krsnaa Diagnostics Ltd","Bharatratna Dr Babasaheb Ambedkar Hospital, SV Rd, opposite Kandivali police station, Kandivali, Fateh Baug, Kandivali West, Mumbai, Maharashtra 400067, India.","074200 14169","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+Ltd+Bharatratna+Dr+Babasaheb+Ambedkar+Hospital%2C+SV+Rd%2C+opposite+Kandivali+police+station%2C+Kandivali%2C+Fateh+Baug%2C+Kandivali+West%2C+Mumbai%2C+Maharashtra+400067%2C+India.","The text explicitly includes 'CT Scan' in its list of available diagnostic imaging services."
"SAAKSHI DIAGNOSTICS","SR NO 353, EMERALD BUILDING, BEHIND SPARSH HOSPITAL, Somatne Parandawadi Road At Post Somatne, Tal, Maval, Talegaon Dabhade, Maharashtra 410506, India","078881 23458","","https://www.google.com/maps/search/?api=1&query=SAAKSHI+DIAGNOSTICS+SR+NO+353,+EMERALD+BUILDING,+BEHIND+SPARSH+HOSPITAL,+Somatne+Parandawadi+Road+At+Post+Somatne,+Tal,+Maval,+Talegaon+Dabhade,+Maharashtra+410506,+India","The text explicitly lists 'CT scans' as one of the imaging services offered by the center."
"Sanjeevani Medical Foundation - Hospital in Lonavala","Pandit Jawaharlal Nehru Rd, near Lonavala City police Station, Siddharth Nagar, Lonavala, Maharashtra 410401, India","097624 56463","","https://www.google.com/maps/search/?api=1&query=Sanjeevani+Medical+Foundation+-+Hospital+in+Lonavala+Pandit+Jawaharlal+Nehru+Rd,+near+Lonavala+City+police+Station,+Siddharth+Nagar,+Lonavala,+Maharashtra+410401,+India","The text states the hospital has 'provision for a CT Scan' and that its cardiology department utilizes CT scans."
"New Navjeevan Clinical Laboratory","Navjeevan clinical Lab Shop no.3, Swami samarth palace, near rachana gardens, Damodar Colony, Bhangarwadi, Lonavala, Kusgaon Budruk, Maharashtra 410401, India","Not available","","https://www.google.com/maps/search/?api=1&query=New+Navjeevan+Clinical+Laboratory+Navjeevan+clinical+Lab+Shop+no.3,+Swami+samarth+palace,+near+rachana+gardens,+Damodar+Colony,+Bhangarwadi,+Lonavala,+Kusgaon+Budruk,+Maharashtra+410401,+India","The text directly states that this clinical laboratory 'offers CT scan services'."
