Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"Jath CT Scan And Diagnostic Center","Nigadi Corner Bus Stop, Bhose - Jath Rd, Jath, Maharashtra 416404, India","Not available in the provided text","","https://www.google.com/maps/search/?api=1&query=Jath+CT+Scan+And+Diagnostic+Center+Nigadi+Corner+Bus+Stop%2C+Bhose+-+Jath+Rd%2C+Jath%2C+Maharashtra+416404%2C+India","The center's name includes 'CT Scan' and the introductory text confirms it offers CT scan services."
"Atharv Diagnostic Centre and Chinmay MRI Scan","Tasgaon, Maharashtra 416312, India","Not available in the provided text","","https://www.google.com/maps/search/?api=1&query=Atharv+Diagnostic+Centre+and+Chinmay+MRI+Scan+Tasgaon%2C+Maharashtra+416312%2C+India","The text explicitly states that the center offers CT scans in addition to its highlighted MRI services."
"Jath CT Scan And Diagnostic Center","निगडी कॉर्नर बस स्टॉप, Bhose - Jath Rd, Jath, Maharashtra 416404, India","Open 24 hours","","https://www.google.com/maps/search/?api=1&query=Jath+CT+Scan+And+Diagnostic+Center+निगडी+कॉर्नर+बस+स्टॉप,+Bhose+-+Jath+Rd,+Jath,+Maharashtra+416404,+India","The text explicitly lists 'whole-body CT scans' as one of the services offered by the center."
"Shree Siddhivinayak Ganapati Cancer Hospital","Sangli - Miraj Rd, Shivaji Nagar, Miraj, Maharashtra 416410, India","0233 221 1601","","https://www.google.com/maps/search/?api=1&query=Shree+Siddhivinayak+Ganapati+Cancer+Hospital+Sangli+-+Miraj+Rd,+Shivaji+Nagar,+Miraj,+Maharashtra+416410,+India","The description states that this hospital is equipped with a 'PET CT Scan facility'."
"Akshay Diagnostic Centre","1725, 5th Ln, opp. Civil Hospital Road, near Garpeer, Ganesh Nagar, Patrakar Nagar, Sangli, Maharashtra 416416, India","0233 232 6823","","https://www.google.com/maps/search/?api=1&query=Akshay+Diagnostic+Centre+1725,+5th+Ln,+opp.+Civil+Hospital+Road,+near+Garpeer,+Ganesh+Nagar,+Patrakar+Nagar,+Sangli,+Maharashtra+416416,+India","The center's list of services explicitly includes 'CT scans' and 'PET-CT scans'."
"Atharv Diagnostic Centre and Chinmay MRI Scan","Ashta - Tasgaon Rd, Kalgaonkar Wada, Tasgaon, Maharashtra 416312, India.","098810 30754","","https://www.google.com/maps/search/?api=1&query=Atharv+Diagnostic+Centre+and+Chinmay+MRI+Scan+Ashta+-+Tasgaon+Rd%2C+Kalgaonkar+Wada%2C+Tasgaon%2C+Maharashtra+416312%2C+India.","The text explicitly states that the center offers imaging services including CT scans and lists 'CT scans' under its provided services."
"Vedh Diagnostic Research Centre","368, R. K. Extension, Opp Shahu Udyan, Dr. Ambedkar Rd, near S.T. stand, Khanbhag, Sangli, Maharashtra 416416, India.","9860092132","","https://www.google.com/maps/search/?api=1&query=Vedh+Diagnostic+Research+Centre+368%2C+R.+K.+Extension%2C+Opp+Shahu+Udyan%2C+Dr.+Ambedkar+Rd%2C+near+S.T.+stand%2C+Khanbhag%2C+Sangli%2C+Maharashtra+416416%2C+India.","The text confirms the center is equipped for 'Computed Tomography' and explicitly states that 'CT scans are available'."
"Aditya Diagnostic Centre","5th Lane, Civil Hospital Rd, Ganesh Nagar, Patrakar Nagar, Sangli Miraj Kupwad, Sangli, Maharashtra 416416, India.","+91 8530717342","","https://www.google.com/maps/search/?api=1&query=Aditya+Diagnostic+Centre+5th+Lane%2C+Civil+Hospital+Rd%2C+Ganesh+Nagar%2C+Patrakar+Nagar%2C+Sangli+Miraj+Kupwad%2C+Sangli%2C+Maharashtra+416416%2C+India.","The text states the center offers 'multi-slice CT scans' and includes 'CT scans' in its list of tests."
"Islampur MRI and CT Scan Centre","27X4+67P, Shastri Nagar, Shivnagar, Uran Islampur, Maharashtra 415409, India.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=Islampur+MRI+and+CT+Scan+Centre+27X4%2B67P%2C+Shastri+Nagar%2C+Shivnagar%2C+Uran+Islampur%2C+Maharashtra+415409%2C+India.","The center's name includes 'CT Scan Centre' and the description explicitly states it 'offers both MRI and CT scan services'."
"Jath CT Scan And Diagnostic Center","निगडी कॉर्नर बस स्टॉप, Bhose - Jath Rd, Jath, Maharashtra 416404, India.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=Jath+CT+Scan+And+Diagnostic+Center+निगडी+कॉर्नर+बस+स्टॉप%2C+Bhose+-+Jath+Rd%2C+Jath%2C+Maharashtra+416404%2C+India.","The center's name includes 'CT Scan' and the description states it 'explicitly offers CT scans'."
"Akshay Diagnostic Centre","1725, 5th Ln, opp. Civil Hospital Road, Sangli, Maharashtra 416416","(0233) 2326823","","https://www.google.com/maps/search/?api=1&query=Akshay+Diagnostic+Centre+1725%2C+5th+Ln%2C+opp.+Civil+Hospital+Road%2C+Sangli%2C+Maharashtra+416416","The text explicitly states that the center has a dedicated Sonography & CT Department."
"DOT 3D SCANNING CENTER","Overseers Colony, Khanbhag, Sangli, Maharashtra 416416, India.","0233 237 7693","","https://www.google.com/maps/search/?api=1&query=DOT%203D%20SCANNING%20CENTER%20Overseers%20Colony%2C%20Khanbhag%2C%20Sangli%2C%20Maharashtra%20416416%2C%20India.","The text confirms the center is equipped with a Helical CT scanner."
"Sai Diagnostic Centre And Sai Scans","Atharva Elegence, 1st Ln, near Waman Guest House, Shahupuri, Kolhapur, Maharashtra 416001, India.","0231 266 8089","","https://www.google.com/maps/search/?api=1&query=Sai%20Diagnostic%20Centre%20And%20Sai%20Scans%20Atharva%20Elegence%2C%201st%20Ln%2C%20near%20Waman%20Guest%20House%2C%20Shahupuri%2C%20Kolhapur%2C%20Maharashtra%20416001%2C%20India.","The center's services are listed as providing whole-body CT and 3D CT scans."
"Sigma Imaging & Interventional Radiology","2nd Lane, near District General Hospital, Ganesh Nagar, Patrakar Nagar, Sangli, Maharashtra 416416, India.","086864 01001","","https://www.google.com/maps/search/?api=1&query=Sigma%20Imaging%20%26%20Interventional%20Radiology%202nd%20Lane%2C%20near%20District%20General%20Hospital%2C%20Ganesh%20Nagar%2C%20Patrakar%20Nagar%2C%20Sangli%2C%20Maharashtra%20416416%2C%20India.","The text explicitly states that this facility offers a 32-slice CT scan."
"Sigma Imaging & Interventional Radiology","2nd Lane, near District General Hospital, Ganesh Nagar, Patrakar Nagar, Sangli, Maharashtra 416416, India.","086864 01001","","https://www.google.com/maps/search/?api=1&query=Sigma+Imaging+&+Interventional+Radiology+2nd+Lane,+near+District+General+Hospital,+Sangli,+Maharashtra+416416,+India.","The text explicitly lists a '32-slice CT scan' among the services offered."
"Sevasadan Lifeline Superspeciality Hospital","MIDC Industrial Area, Miraj, Maharashtra 416410, India.","0233 221 2728","","https://www.google.com/maps/search/?api=1&query=Sevasadan+Lifeline+Superspeciality+Hospital+MIDC+Industrial+Area,+Miraj,+Maharashtra+416410,+India.","The text states that this hospital's diagnostic center provides CT scanning among its specialties."
"DOT 3D SCANNING CENTER","Overseers Colony, Khanbhag, Sangli, Maharashtra 416416, India.","0233 237 7693","","https://www.google.com/maps/search/?api=1&query=DOT+3D+SCANNING+CENTER+Overseers+Colony,+Khanbhag,+Sangli,+Maharashtra+416416,+India.","The center's listed offerings include 'Helical CT scans' with robotic guidance."
"Radhey Diagnostic Centre","Sangli - Miraj Rd, near Vantmure Corner, near Domino’s Pizza, Shivaji Nagar, Miraj, Maharashtra 416410, India.","Not available.","","https://www.google.com/maps/search/?api=1&query=Radhey+Diagnostic+Centre+Sangli+-+Miraj+Rd,+Miraj,+Maharashtra+416410,+India.","The text lists CT scans among the range of diagnostic services offered by the center."
"Prism Diagnostic Center","Shantisadan Appartment, ground floor, flat no 3 Behind Limaye eye clinic, Gosavi road, Sangli - Miraj Rd, Gandhi Nagar, Vishrambag, Sangli, Maharashtra 416415, India.","086696 64230","","https://www.google.com/maps/search/?api=1&query=Prism+Diagnostic+Center+Sangli+-+Miraj+Rd,+Sangli,+Maharashtra+416415,+India.","This diagnostic center is explicitly listed as offering CT scan services among its range of medical services."
"ANVI DIAGNOSTIC IMAGING","Chowk, near Aditya Hospital, Vishrambag, Sangli, Maharashtra 416415, India.","090286 75312","","https://www.google.com/maps/search/?api=1&query=ANVI+DIAGNOSTIC+IMAGING+Chowk,+near+Aditya+Hospital,+Sangli,+Maharashtra+416415,+India.","The services listed for this imaging center explicitly include CT scans."
"Randive Diagnostic Center","Stand Road, near Walawa Vaidyakiy Patasanstha, near ST Stand Road, Shirala Naka, Uran Islampur, Maharashtra 415409, India.","Not available.","","https://www.google.com/maps/search/?api=1&query=Randive+Diagnostic+Center+Stand+Road,+Uran+Islampur,+Maharashtra+415409,+India.","The text states that this center offers a variety of diagnostic services, which include CT scans."
"Sai Diagnostic Centre And Sai Scans","Atharva Elegence, 1st Ln, near Waman Guest House, Shahupuri, Kolhapur, Maharashtra 416001, India.","0231 266 8089","","https://www.google.com/maps/search/?api=1&query=Sai+Diagnostic+Centre+And+Sai+Scans+Atharva+Elegence,+Kolhapur,+Maharashtra+416001,+India.","The center's services are listed to include 'Whole Body CT' and '3D CT scans'."
"Atharv Diagnostic Centre","Kalgaonkar Wada, Tasgaon, Maharashtra 416312, India","098810 30754","","https://www.google.com/maps/search/?api=1&query=Atharv+Diagnostic+Centre+Kalgaonkar+Wada%2C+Tasgaon%2C+Maharashtra+416312%2C+India","The text explicitly states that the center provides 'CT scans' and '24-hour emergency MRI and CT scan services'."
"Sevasadan Lifeline Superspeciality Hospital","MIDC Industrial Area, Miraj, Maharashtra 416410","0233 221 2728","","https://www.google.com/maps/search/?api=1&query=Sevasadan+Lifeline+Superspeciality+Hospital+MIDC+Industrial+Area%2C+Miraj%2C+Maharashtra+416410","The text states that this hospital provides a comprehensive list of medical services, which includes CT scanning."
